rate_center,center_name,schedule,category,unit_of_rate,source,fy_first,fy_last,total_revenue_all_years,inpatient_revenue_share,in_published_panel
PCD,Psychiatric - Child/Adolescent,A20,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,582414577.12,1.0,True
PDC,Psychiatric Day and Night Care Services,B5,Ambulatory,Visits,CCD;SUB;S500,2017.0,2026.0,349504605.55,0.0012,True
PED,Pediatrics Acute,A2,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,953315283.41,1.0,True
PIC,Pediatric Intensive Care,A8,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,488163743.92,1.0,True
PRE,Premature Nursery,A15,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,12248400.0,1.0,True
PSD,Pediatric Step Down,A36,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,197031483.81,1.0,True
PSG,Psychiatric - Geriatric,A21,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,95416822.16,1.0,True
PSI,Psychiatric Intensive Care,,Daily service,Patient days,S500,2017.0,2019.0,35421730.0,1.0,True
PSP,,,,,,2017.0,2021.0,6452.84,1.0,True
PST,Psychological Testing,C38,Ancillary,Hours,CCD;SUB;S500,2017.0,2026.0,72990596.1,0.0343,True
PSY,Psychiatric Acute,A3,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,3094571465.28,1.0,True
PTH,Physical Therapy,C16,Ancillary,1974 California RVU,CCD;SUB;S500,2017.0,2026.0,2786829477.58,0.6611,True
PUL,Pulmonary Function Testing,C14,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2026.0,258764919.31,0.1778,True
RAD,Radiology - Diagnostic,C8,Ancillary,1977 HSCRC RVU,CCD;SUB;S500,2017.0,2026.0,6486742533.57,0.3474,True
RAT,Radiology - Therapeutic,C9,Ancillary,1977 HSCRC RVU,CCD;SUB;S500,2017.0,2026.0,2637130513.31,0.0567,True
RAT-340,Radiology Therapeutic - 340B,,Ancillary,1977 HSCRC RVU,derived from SUB 340B convention,2017.0,2026.0,53139382.95,0.0,True
RDL,Renal Dialysis,C15,Ancillary,Treatments,CCD;SUB;S500,2017.0,2026.0,940613220.1,0.9603,True
RDS,Respiratory Dependent,A25,Daily service,Patient days,CCD;SUB,2017.0,2026.0,74127321.55,1.0,True
REC,Recreational Therapy,C41,Ancillary,Treatments,CCD;SUB;S500,2017.0,2026.0,13758485.06,1.0001,True
RES,Respiratory Therapy,C13,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2026.0,3686246145.95,0.9499,True
RHB,Rehabilitation,A16,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,1690703373.19,1.0,True
SDS,Same Day Surgery,B6,Ambulatory,Patients,CCD;SUB;S500,2017.0,2026.0,2744953529.78,0.0044,True
STH,Speech Language Pathology,C18,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2026.0,736088586.65,0.7455,True
TMS,,,,,,2021.0,2026.0,2748976.53,,True
TNA,Transurethral Needle Ablation,C46,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2022.0,379105.95,0.0609,True
TRM,Shock Trauma,A12,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,935949547.65,1.0,True
TRU,Shock Trauma Resuscitation,,Ambulatory,RVUs,SUB,2017.0,2026.0,121881183.13,0.5286,True
